,title,n_enrolled,Level,subject,language,subtitles,course_length,price,ganancia_curso
803,Fundamentos de Mecánica para Ingeniería,14219,Introductory,Physics,Español,Español,6 Weeks,49.0,696731.0
804,Leadership and Management for PM Practitioners in IT,21949,Introductory,Business & Management,English,English,6 Weeks,199.0,4367851.0
805,Entrepreneurship 103: Show Me The Money,15184,Introductory,Business & Management,English,English,10 Weeks,300.0,4555200.0
806,Historia de la ética,9383,Introductory,Philosophy & Ethics,Español,Español,6 Weeks,29.0,272107.0
808,Radio para internet con Podcast: creación y conceptos básicos,6460,Introductory,Communication,Español,Español,6 Weeks,50.0,323000.0
809,Introducción a los circuitos eléctricos,11953,Intermediate,Electronics,Español,Español,5 Weeks,49.0,585697.0
810,AP® Physics 1: Challenging Concepts,12145,Introductory,Physics,English,English,8 Weeks,49.0,595105.0
811,Introduction to Java Programming – Part 2,71203,Introductory,Computer Science,English,English,5 Weeks,99.0,7049097.0
812,AP® Macroeconomics,29433,Introductory,Economics & Finance,English,English,18 Weeks,49.0,1442217.0
813,Climate Change Education,12056,Introductory,Education & Teacher Training,English,"English, Español",10 Weeks,25.0,301400.0
815,Applied Deep Learning Capstone Project,8429,Advanced,Data Analysis & Statistics,English,English,5 Weeks,99.0,834471.0
816,FinTech Ethics and Risks,10696,Introductory,Economics & Finance,English,"English, English, 中文, 中文",6 Weeks,199.0,2128504.0
817,User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,23828,Advanced,Engineering,English,English,7 Weeks,139.0,3312092.0
818,The Conquest of Space: Space Exploration and Rocket Science,19926,Introductory,Engineering,English,English,7 Weeks,129.0,2570454.0
820,What Works in Education: Evidence-Based Education Policies,5540,Introductory,Education & Teacher Training,English,English,10 Weeks,25.0,138500.0
821,Electric Cars: Business,14199,Intermediate,Business & Management,English,English,4 Weeks,50.0,709950.0
823,Mechanics: Momentum and Energy,14846,Intermediate,Physics,English,English,14 Weeks,49.0,727454.0
824,Co-Creating Sustainable Cities,12415,Advanced,Social Sciences,English,English,8 Weeks,49.0,608335.0
826,Introduction to Animal Ethics,6608,Introductory,Philosophy & Ethics,English,English,5 Weeks,49.0,323792.0
828,Grant Writing and Crowdfunding for Public Libraries,12853,Introductory,Humanities,English,English,4 Weeks,49.0,629797.0
829,Leading Ambitious Teaching and Learning,24273,Advanced,Education & Teacher Training,English,English,6 Weeks,199.0,4830327.0
833,Introducción a la Estructura de la Materia,11859,Introductory,Chemistry,Español,Español,4 Weeks,25.0,296475.0
834,"Batteries, Fuel Cells, and their Role in Modern Society",11865,Introductory,Science,English,English,6 Weeks,49.0,581385.0
835,Communication Skills for Dialoguing Across Difference,60943,Introductory,Communication,English,English,1 Weeks,25.0,1523575.0
836,Social Media: How Media Got Social,13616,Introductory,Communication,English,English,4 Weeks,139.0,1892624.0
837,"Portfolio Management, Governance, & the PMO",17299,Introductory,Business & Management,English,English,6 Weeks,199.0,3442501.0
838,edX101: Overview of Creating an edX Course,22327,Introductory,Education & Teacher Training,English,English,1 Weeks,99.0,2210373.0
840,Data Analysis for Decision Making,8342,Advanced,Business & Management,English,English,7 Weeks,214.0,1785188.0
841,UML Class Diagrams for Software Engineering,33710,Introductory,Computer Science,English,English,3 Weeks,49.0,1651790.0
842,Driving Digital Innovation through Experimentation,16904,Advanced,Computer Science,English,English,6 Weeks,399.0,6744696.0
843,Compilation Basics for Macroeconomic Statistics,6570,Introductory,Data Analysis & Statistics,English,English,4 Weeks,25.0,164250.0
844,Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,20189,Introductory,Engineering,Español,Español,10 Weeks,25.0,504725.0
845,From Fossil Resources to Biomass: A Chemistry Perspective,5464,Advanced,Energy & Earth Sciences,English,English,5 Weeks,149.0,814136.0
846,System Dynamics for Health Sciences,15157,Intermediate,Medicine,English,English,9 Weeks,139.0,2106823.0
849,Introduction to Psychological Research Methods,17087,Introductory,Humanities,English,English,7 Weeks,99.0,1691613.0
850,Sustainable Packaging in a Circular Economy,6277,Intermediate,Design,English,English,6 Weeks,50.0,313850.0
851,Design in Healthcare: Using Patient Journey Mapping,17946,Introductory,Design,English,English,8 Weeks,129.0,2315034.0
853,"Electronic, Optical, and Magnetic Properties of Materials",9717,Advanced,Engineering,English,English,15 Weeks,150.0,1457550.0
854,La España del Quijote,13277,Introductory,History,Español,Español,7 Weeks,19.0,252263.0
855,Risk Management for Projects,22269,Introductory,Business & Management,English,English,5 Weeks,199.0,4431531.0
856,Smithsonian’s Objects That Define America,9071,Introductory,Humanities,English,English,5 Weeks,50.0,453550.0
857,Creating Modern China: The Republican Period to the Present,43045,Introductory,History,English,"English, 中文",15 Weeks,139.0,5983255.0
858,Discover Political Science,6573,Intermediate,Social Sciences,English,English,10 Weeks,50.0,328650.0
859,Data Science: Inferential Thinking through Simulations,17505,Introductory,Computer Science,English,English,5 Weeks,199.0,3483495.0
860,Programming for Data Science,41268,Introductory,Computer Science,English,English,10 Weeks,199.0,8212332.0
862,Sensor Fusion and Non-linear Filtering for Automotive Systems,9709,Advanced,Engineering,English,English,6 Weeks,299.0,2902991.0
864,First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,8222,Introductory,Humanities,English,English,3 Weeks,49.0,402878.0
865,The Quantum Internet and Quantum Computers: How Will They Change the World?,15014,Introductory,Science,English,English,6 Weeks,50.0,750700.0
866,Research Methods: An Engineering Approach,20444,Introductory,Engineering,English,English,8 Weeks,169.0,3455036.0
867,Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,15349,Introductory,Philosophy & Ethics,Español,Español,5 Weeks,49.0,752101.0
868,Rise to Leadership: Become a CEO,16719,Intermediate,Business & Management,English,English,4 Weeks,199.0,3327081.0
869,Building a Cybersecurity Toolkit,23275,Introductory,Computer Science,English,English,6 Weeks,199.0,4631725.0
872,Life with Diabetes,12318,Introductory,Medicine,English,English,5 Weeks,139.0,1712202.0
873,Human Reproduction,5517,Intermediate,Biology & Life Sciences,English,English,6 Weeks,169.0,932373.0
874,Enabling Technologies for Data Science and Analytics: The Internet of Things,71290,Introductory,Computer Science,English,English,5 Weeks,99.0,7057710.0
875,Astrophysics: Exploring Exoplanets,48539,Intermediate,Physics,English,English,9 Weeks,50.0,2426950.0
879,Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,14266,Intermediate,Humanities,Español,Español,4 Weeks,49.0,699034.0
880,Introduction to Cloud Foundry and Cloud Native Software Architecture,24444,Introductory,Computer Science,English,English,14 Weeks,169.0,4131036.0
883,The Supreme Court & American Politics,6216,Introductory,Law,English,English,8 Weeks,29.0,180264.0
885,Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,16423,Intermediate,Business & Management,Español,Español,10 Weeks,25.0,410575.0
886,Liderazgo en la empresa familiar,10969,Intermediate,Business & Management,Español,Español,6 Weeks,49.0,537481.0
887,Comparative Political Systems,6934,Introductory,Social Sciences,English,English,6 Weeks,59.0,409106.0
889,Cloud Computing for Enterprises,27241,Intermediate,Computer Science,English,English,8 Weeks,299.0,8145059.0
890,Diversity and Social Justice in Social Work,11055,Advanced,Social Sciences,English,English,8 Weeks,199.0,2199945.0
891,Public Library Marketing and Public Relations,7525,Introductory,Humanities,English,English,4 Weeks,49.0,368725.0
892,"Healthcare Finance, Economics and Risk",8006,Intermediate,Economics & Finance,English,English,5 Weeks,199.0,1593194.0
893,Reacciones Químicas y Cálculos Estequiométricos,8907,Introductory,Chemistry,Español,Español,6 Weeks,49.0,436443.0
894,Seeking Women’s Rights: Colonial Period to the Civil War,5157,Intermediate,History,English,English,10 Weeks,50.0,257850.0
895,VideoX: Creating Video for the edX Platform,12159,Introductory,Education & Teacher Training,English,English,2 Weeks,99.0,1203741.0
901,Sustainable Development: The Post-Capitalist Order,7031,Introductory,Economics & Finance,English,English,8 Weeks,49.0,344519.0
902,"Health Law, Policy, and Advocacy",6358,Intermediate,Law,English,English,5 Weeks,199.0,1265242.0
905,Understanding Nuclear Energy,16015,Intermediate,Engineering,English,English,6 Weeks,50.0,800750.0
906,Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),11431,Introductory,Business & Management,Español,Español,4 Weeks,50.0,571550.0
908,AP® Calculus BC,8542,Introductory,Math,English,English,11 Weeks,49.0,418558.0
910,Entrepreneurial Opportunities,27182,Introductory,Business & Management,English,English,5 Weeks,50.0,1359100.0
911,Agua en América Latina: Abundancia en medio de la escasez mundial,38581,Introductory,Environmental Studies,Español,Español,10 Weeks,25.0,964525.0
912,Understanding Political Concepts,7421,Introductory,Social Sciences,English,English,6 Weeks,59.0,437839.0
913,How to Code: Complex Data,34190,Introductory,Computer Science,English,English,6 Weeks,125.0,4273750.0
914,Hypersonics – from Shock Waves to Scramjets,19043,Advanced,Engineering,English,English,4 Weeks,99.0,1885257.0
915,Micro and Nanofabrication (MEMS),16094,Advanced,Engineering,English,"English, Français",7 Weeks,199.0,3202706.0
916,Scientific Methods and Research,7501,Intermediate,Science,English,English,5 Weeks,49.0,367549.0
917,Customer Centric Marketing for Entrepreneurs,14003,Intermediate,Business & Management,English,English,4 Weeks,149.0,2086447.0
918,Dog Behavior: Problems and Solutions,16467,Intermediate,Social Sciences,English,English,3 Weeks,169.0,2782923.0
919,The Business of Mining,20406,Introductory,Business & Management,English,English,4 Weeks,139.0,2836434.0
920,"Social Work Practice in Community Organization, Management and Policy/Evaluation",9522,Advanced,Social Sciences,English,English,8 Weeks,199.0,1894878.0
922,Understanding the Australian Health Care System,8343,Introductory,Medicine,English,English,9 Weeks,59.0,492237.0
923,Age of Sustainable Development,10019,Intermediate,Social Sciences,English,"English, Português, Русский",14 Weeks,49.0,490931.0
925,Multi-Object Tracking for Automotive Systems,8581,Advanced,Engineering,English,English,10 Weeks,249.0,2136669.0
927,Strategic Leadership in Healthcare,6237,Intermediate,Business & Management,English,English,5 Weeks,199.0,1241163.0
928,Terrorism and Counterterrorism: An Introduction,14128,Introductory,Humanities,English,English,3 Weeks,49.0,692272.0
929,Exploring Psychology's Core Concepts|走进心理学,5741,Introductory,Social Sciences,English,English,6 Weeks,139.0,797999.0
930,Creating Virtual Reality (VR) Apps,22349,Intermediate,Computer Science,English,English,6 Weeks,99.0,2212551.0
934,Dynamics and Control,27763,Introductory,Engineering,English,English,6 Weeks,50.0,1388150.0
935,Finding Your Cybersecurity Career Path,19283,Introductory,Computer Science,English,English,6 Weeks,199.0,3837317.0
936,Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,12674,Introductory,Humanities,Español,Español,6 Weeks,29.0,367546.0
937,Mechanics: Rotational Dynamics,13183,Intermediate,Physics,English,English,12 Weeks,49.0,645967.0
941,Liderazgo orientado al florecimiento humano,7911,Introductory,Business & Management,Español,Español,4 Weeks,149.0,1178739.0
942,Software Construction: Object-Oriented Design,23100,Intermediate,Computer Science,English,English,6 Weeks,125.0,2887500.0
945,The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,17941,Introductory,History,English,English,12 Weeks,50.0,897050.0
948,Designing and Leading Learning Systems,11895,Advanced,Education & Teacher Training,English,English,8 Weeks,199.0,2367105.0
949,How the U.S. Government Works & How to Get Involved,5930,Introductory,Social Sciences,English,English,6 Weeks,49.0,290570.0
950,Inspiring and Motivating Arts and Culture Teams,10817,Introductory,Business & Management,English,English,5 Weeks,49.0,530033.0
952,A System View of Communications: From Signals to Packets (Part 1),34261,Introductory,Computer Science,English,English,7 Weeks,60.0,2055660.0
953,"Invasions, Rebellions, and the Fall of Imperial China",41537,Introductory,History,English,"English, 中文",15 Weeks,139.0,5773643.0
954,AP® English Literature & Composition – Part 3: Plays,6443,Introductory,Humanities,English,English,7 Weeks,49.0,315707.0
955,Cómo implantar grupos de mejora de procesos,28100,Introductory,Business & Management,Español,Español,8 Weeks,150.0,4215000.0
956,Proteins: Biology's Workforce,25893,Intermediate,Biology & Life Sciences,English,English,5 Weeks,169.0,4375917.0
957,Introducción a los ritmos y relojes biológicos,6149,Introductory,Science,Español,"English, Español",4 Weeks,50.0,307450.0
959,"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",10205,Advanced,Engineering,English,English,7 Weeks,169.0,1724645.0
960,Fundamentos de Electromagnetismo para Ingeniería,15040,Introductory,Physics,Español,Español,7 Weeks,49.0,736960.0
961,Sustainable Food Systems: A Mediterranean Perspective,6480,Intermediate,Food & Nutrition,English,"English, Français, Italiano",10 Weeks,49.0,317520.0
963,Using GPUs to Scale and Speed-up Deep Learning,9294,Intermediate,Data Analysis & Statistics,English,English,5 Weeks,99.0,920106.0
964,StudioX: Creating a Course with edX Studio,20355,Introductory,Education & Teacher Training,English,English,3 Weeks,99.0,2015145.0
966,Introducción a las ondas gravitacionales,8657,Introductory,Science,Español,"English, Español",4 Weeks,50.0,432850.0
969,Global China: From the Mongols to the Ming,41902,Introductory,History,English,"English, 中文",15 Weeks,139.0,5824378.0
972,Computational Neuroscience: Neuronal Dynamics of Cognition,11246,Advanced,Biology & Life Sciences,English,English,6 Weeks,139.0,1563194.0
973,Cities and the Challenge of Sustainable Development,8775,Introductory,Environmental Studies,English,English,1 Weeks,25.0,219375.0
