,title,n_enrolled,Level,subject,language,subtitles,course_length,price,ganancia_curso
624,Introducción a la programación en C: Tipos de datos y estructuras,13480,Introductory,Computer Science,Español,Español,4 Weeks,49.0,660520.0
625,Visualización de Datos y Storytelling,5980,Intermediate,Data Analysis & Statistics,Español,Español,4 Weeks,49.0,293020.0
627,"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488,Intermediate,Environmental Studies,English,"English, Русский",7 Weeks,49.0,513912.0
629,Fundamentals of Financial Mathematics and Capital Budgeting,5410,Introductory,Economics & Finance,English,English,4 Weeks,99.0,535590.0
630,Gestión participativa: motivación y liderazgo organizacional,23441,Intermediate,Business & Management,Español,Español,8 Weeks,79.0,1851839.0
633,Energía eléctrica: conceptos y principios básicos,9762,Intermediate,Engineering,Español,Español,7 Weeks,49.0,478338.0
634,Market Segmentation Analysis,17055,Intermediate,Business & Management,English,English,5 Weeks,99.0,1688445.0
636,AP® English Literature & Composition – Part 2: Poems,5719,Introductory,Humanities,English,English,7 Weeks,49.0,280231.0
637,"Electrical, Optical & Magnetic Materials and Devices",16905,Intermediate,Engineering,English,English,16 Weeks,150.0,2535750.0
639,How to Design a Successful Business Model,33656,Introductory,Business & Management,English,"Deutsch, English, Español, Français",8 Weeks,99.0,3331944.0
641,Agile Software Development,37158,Introductory,Computer Science,English,English,6 Weeks,50.0,1857900.0
642,Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144,Intermediate,Computer Science,Español,Español,4 Weeks,49.0,448056.0
644,Gestão de Projetos de Desenvolvimento,28337,Introductory,Business & Management,Português,Português,10 Weeks,49.0,1388513.0
645,Innovation: From Plan to Product,12918,Intermediate,Business & Management,English,English,10 Weeks,249.0,3216582.0
647,Climate Change: Carbon Capture and Storage,10551,Introductory,Engineering,English,English,5 Weeks,49.0,516999.0
648,Reservoir Geomechanics,5280,Introductory,Energy & Earth Sciences,English,English,10 Weeks,129.0,681120.0
650,IoT System Architecture: Design and Evaluation,5914,Introductory,Computer Science,English,English,3 Weeks,99.0,585486.0
651,Noongar Language and Culture,10858,Introductory,Language,English,English,6 Weeks,139.0,1509262.0
653,Sustainable Food Security: Food Access,18943,Introductory,Social Sciences,English,English,6 Weeks,49.0,928207.0
654,Bases Matemáticas: Integrales,23703,Introductory,Math,Español,Español,5 Weeks,50.0,1185150.0
655,Epidemics II,8565,Introductory,Medicine,English,"English, 中文, 中文",3 Weeks,139.0,1190535.0
656,Derechos humanos: Los derechos de las personas refugiadas,28398,Introductory,Humanities,Español,Español,3 Weeks,49.0,1391502.0
658,Big Data Analytics,43009,Intermediate,Computer Science,English,English,10 Weeks,199.0,8558791.0
659,"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594,Intermediate,Math,English,English,7 Weeks,49.0,323106.0
660,ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028,Introductory,Social Sciences,Español,"English, Español",6 Weeks,25.0,400700.0
663,Fundamentals of Market Structure,32049,Introductory,Economics & Finance,English,English,1 Weeks,25.0,801225.0
664,Protecting Children in Humanitarian Settings,7246,Intermediate,Social Sciences,English,English,12 Weeks,50.0,362300.0
